"","Player","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","PIC"
"335","Kahlil Whitney","RGV",10,14.7,6.7,2.6,6,0.433,0.9,2.5,0.36,0.3,0.5,0.6,0.8,0.8,1.6,0.5,0.1,0.2,1.1,1.7,22
"336","Joe Wieskamp","WIS",7,31.1,16.3,5.3,10.9,0.487,3.4,7.4,0.462,1.4,2.1,0.667,1.1,4.4,5.6,1.6,0.6,0.6,0.7,1.4,107.45
"337","Lindell Wigginton","WIS",10,35.2,19.4,6.4,14.5,0.441,2.5,6.9,0.362,2.6,3.2,0.813,0.8,3.4,4.2,5.8,0.8,0.4,2.7,3,156
"338","Alondes Williams","LIN",10,21.6,12,4.5,9,0.5,1.4,3.9,0.359,0.9,1.5,0.6,0.6,2.3,2.9,1.7,0.5,0.2,1.3,2.2,83
"339","Brandon Williams","COL",14,30.7,17.7,6.2,14.1,0.442,1.4,4.2,0.322,2.6,3.4,0.766,0.6,3.6,4.1,6.5,0.9,0.5,2.6,2.2,220.5
"340","Donovan Williams","COL",16,28.4,15.9,6.3,11.8,0.529,1.6,4.1,0.4,1.1,1.7,0.63,0.7,2.6,3.3,1.4,1.4,0.7,1.6,3.9,166.4
"341","Jaylin Williams","OKL",1,31.4,21,7,11,0.636,1,3,0.333,4,6,0.667,2,12,14,12,3,0,0,3,40
"342","Jeenathan Williams, Jr.","SLC",17,31.6,15.9,5.9,10.9,0.541,1.8,4.6,0.392,1.4,1.6,0.852,1.5,3.1,4.6,2.2,0.9,0.6,1.8,2.6,230.35
"343","Vincent Williams, Jr.","MHU",7,31.1,17.6,6.1,9.7,0.632,2,4.7,0.424,2,2.6,0.778,1.7,6.6,8.3,1.9,1.7,0.7,1.9,3.4,136.5
"344","Trevion Williams","CAP",15,19.1,7.9,3.4,6.8,0.5,0.3,1.2,0.278,0.4,0.6,0.667,3,5.3,8.3,2.5,0.3,0.4,2.8,2.9,126
"345","Lucas Williamson","ONT",9,15,2.1,0.7,3.1,0.214,0.6,2.4,0.227,0.1,0.1,1,0.3,1.6,1.9,0.3,0.2,0.3,0.4,2,-2.7
"346","Bryce Wills","GRG",15,22.6,5.9,2.3,4.9,0.473,0.7,2.2,0.333,0.3,0.5,0.714,0.1,3.8,3.9,1,0.9,1,1.2,1.3,102.75
"347","D.J. Wilson","OKL",5,34.2,19.4,8,15.4,0.519,2,6.2,0.323,0.8,1.8,0.444,1,7.8,8.8,4,0.6,1.4,3.6,2.8,91
"348","Jared Wilson-Frame","IWA",6,23.1,6.2,2.2,9.2,0.236,1.8,7.2,0.256,0,0,0,0.7,3,3.7,2.7,0.7,0,1.8,2,12.9
"349","Todd Withers","TEX",14,23.1,5.5,2,4.7,0.424,1,2.9,0.35,0.4,0.4,1,1.1,3.8,4.9,1,1,1.1,0.9,3.1,79.8
"350","Robert Woodard II","OKL",15,28.7,14.9,5.3,11.8,0.446,1.7,4.7,0.352,1.5,2.1,0.719,2.1,5.9,8,1.8,1.1,0.5,2.2,0.7,225
"351","Ryan Woolridge","OKL",12,23.3,10.3,4.3,6.7,0.638,0.3,0.5,0.5,0.8,1.2,0.643,2,3.1,5.1,3.5,1.3,0.3,1.8,1.2,162.6
"352","Kenny Wooten","RAP",6,11.6,2.3,1,1.8,0.545,0,0,0,0.2,0.3,0.5,1,1.8,2.8,0.5,0.3,1.2,0.3,1.2,21.6
"353","Gabe York","FWN",12,34.6,24.1,8.2,17.2,0.476,3.9,9.8,0.398,2.2,2.4,0.897,0.7,3.8,4.4,4.6,1.8,0.2,2.2,1.8,258.6
"354","Cameron Young","IGN",13,20.1,12,3.5,8.1,0.429,0.8,2.7,0.314,2.4,2.7,0.886,0.3,1.8,2.1,1.1,0.5,0.1,0.5,1.8,109.2
"355","Marcus Zegarowski","AUS",15,21.7,7.6,2.9,7.3,0.394,1.6,3.7,0.429,0.3,0.3,1,0.2,1.7,1.9,2.3,1.1,0,1.4,1.7,79.5
