,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS
34,Ahmad Caver,MHU,15,29.4,16.5,6.2,11.8,0.525,1.1,2.7,0.425,1.7,2.7,0.634,0.9,3.2,4.1,3.8,1.9,0.4,1.7,1.4,0.633,0.573,158.5,3.0,11.5,7.0,20.5,11.4,3.1,1.2,20.8,2.9,1.4,115.5,106.2,9.4,205.4,20.6,0.248,2.3,1.2,0.2,6,9,0.4,0.7,0.7,1.4
35,Zylan Cheatham,IWA,15,30.7,10.5,4.2,8.4,0.5,0.3,1.5,0.217,1.1,1.7,0.64,1.6,6.5,8.1,2.3,0.7,0.5,2.1,2.8,0.573,0.52,135.7,5.7,21.4,13.8,11.4,18.9,1.1,1.4,16.0,-1.9,1.2,99.9,112.9,-13.0,148.9,11.9,0.168,1.1,0.3,0.2,2,13,0.133,-0.1,0.4,0.3
36,Yoeli Childs,ERI,12,20.1,8.9,3.7,6.8,0.537,0.3,1.5,0.222,0.8,1.3,0.563,1.8,3.0,4.8,1.2,0.8,0.3,0.8,1.8,0.601,0.561,132.1,10.2,15.3,12.9,8.3,10.1,2.0,1.4,18.0,-0.3,1.3,116.3,113.1,3.1,96.0,17.8,0.114,1.4,1.0,0.2,8,4,0.667,0.4,0.2,0.5
37,Antonius Cleveland,OKL,15,28.6,15.1,5.5,11.5,0.483,1.3,3.3,0.38,1.5,1.9,0.7929999999999999,1.3,4.3,5.5,3.1,1.3,0.7,1.3,2.1,0.612,0.5379999999999999,165.6,4.4,13.7,9.2,15.2,9.3,2.0,2.0,19.2,2.6,1.3,118.5,108.4,10.1,193.6,18.4,0.198,2.4,1.0,0.2,8,7,0.5329999999999999,0.8,0.6,1.3
38,Amir Coffey,ACC,7,32.1,18.4,6.4,16.3,0.395,2.9,9.6,0.299,1.9,2.4,0.765,0.1,4.0,4.1,4.4,0.9,0.3,2.0,1.0,0.531,0.48200000000000004,145.8,0.4,13.2,6.6,22.5,10.3,1.3,0.8,25.8,3.0,1.1,104.4,110.9,-6.5,80.6,15.9,0.278,2.2,0.4,0.1,3,4,0.429,0.1,0.2,0.3
39,Tyler Cook,IWA,8,33.3,20.8,8.4,14.0,0.598,0.0,0.1,0.0,2.6,3.9,0.677,3.4,6.3,9.6,4.4,0.6,0.5,3.6,1.9,0.6609999999999999,0.598,127.6,10.8,19.6,15.2,23.9,18.8,0.9,1.4,25.2,-2.1,1.5,112.1,112.4,-0.3,142.4,22.8,0.32799999999999996,1.2,0.2,0.3,0,8,0.0,0.4,0.2,0.6
40,Anthony Cowan,MHU,15,15.1,6.3,2.1,4.7,0.457,0.9,2.3,0.41200000000000003,0.7,1.0,0.667,0.3,1.0,1.3,2.2,0.9,0.1,0.6,1.5,0.614,0.557,153.6,2.1,7.0,4.4,20.9,10.5,2.9,0.4,15.8,5.6,1.3,119.6,108.4,11.2,79.6,16.1,0.107,3.7,1.6,0.2,6,9,0.4,0.4,0.3,0.7
41,Jarron Cumberland,RAP,8,13.2,2.3,0.8,1.9,0.4,0.3,1.0,0.25,0.4,0.4,1.0,0.5,0.8,1.3,1.0,0.3,0.1,0.3,1.0,0.551,0.467,165.0,3.9,6.1,5.0,9.0,10.9,0.9,0.9,7.4,3.1,1.2,122.7,119.1,3.6,19.1,7.8,0.040999999999999995,4.0,1.0,0.2,6,2,0.75,0.1,0.0,0.1
42,Nate Darling,GBO,13,25.4,8.9,2.8,8.1,0.34299999999999997,2.4,7.2,0.33,0.7,0.8,0.9,0.2,2.0,2.2,1.5,0.3,0.1,1.5,1.5,0.53,0.49,157.3,0.9,8.0,4.3,8.6,14.8,0.6,0.3,16.2,-1.7,1.1,92.9,119.3,-26.4,52.0,6.4,0.111,1.1,0.2,0.1,4,9,0.308,-0.3,0.0,-0.3
43,Cody Demps,IGN,15,20.0,5.5,2.1,4.1,0.5,0.5,1.5,0.364,0.5,0.7,0.636,0.8,1.9,2.7,1.1,0.6,0.4,0.9,1.8,0.621,0.565,150.0,4.5,9.8,7.3,7.7,17.3,1.5,1.8,11.6,-0.9,1.3,106.8,113.8,-7.0,69.9,10.3,0.079,1.2,0.6,0.2,8,7,0.5329999999999999,0.1,0.2,0.3
44,Mamadi Diakite,LAK,12,27.7,18.5,7.6,13.0,0.583,0.6,1.2,0.5,1.8,2.3,0.75,2.8,7.6,10.3,2.1,0.6,2.1,1.9,2.8,0.659,0.606,183.3,10.4,27.2,19.1,13.7,12.0,1.1,6.5,25.3,-1.9,1.4,116.6,98.9,17.7,212.8,27.9,0.244,1.1,0.3,0.2,7,5,0.583,0.7,0.8,1.5
