"","Player","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","TS%","eFG%","Total S %","ORB%","DRB%","TRB%","AST%","TOV%","STL%","BLK%","USG%","PPR","PPS","ORtg","DRtg","eDiff","FIC","PER","HOB","Ast/TO","Stl/TO","FT/FGA","W's","L's","Win %","OWS","DWS","WS","CalledUp","Pos","WT","HT","Draft","pic"
"200","Paul White","SLC",8,25.4,9.9,3.8,10,0.375,1.3,4.9,0.256,0.9,0.9,1,1.3,3.3,4.5,1.4,0.9,0.3,1.5,2.4,0.475,0.438,163.1,4.9,15.2,9.6,9,12.6,1.8,1,21.1,-2.4,1,91.3,115.2,-23.9,44.4,10.6,0.141,0.9,0.6,0.1,1,7,0.125,-0.3,0.1,-0.2,0,"PF",225,81,"Undrafted",49.6
"201","Lindell Wigginton","IWA",15,34.9,17.1,6,14.1,0.427,2.3,7.3,0.312,1.8,2.6,0.692,0.6,3.5,4.1,5.4,0.7,0.1,4.3,3.1,0.561,0.507,143.1,1.9,10.3,6.2,24.5,22.2,1,0.4,24.4,-2.1,1.2,94,117.7,-23.6,137.9,10.6,0.293,1.2,0.2,0.2,2,13,0.133,-0.6,0.1,-0.5,0,"SG",189,73,"Undrafted",161.25
"202","Emmitt Williams","ACC",13,12.3,4.2,1.6,3.2,0.5,0.2,0.5,0.5,0.4,0.5,0.833,1.8,2.4,4.2,0.3,0.4,0.4,1.2,1.4,0.616,0.536,183.3,14.6,20.7,17.6,3.7,25.2,1.6,2.8,16,-7.8,1.3,100,108.8,-8.9,57.5,14.3,0.049,0.3,0.3,0.1,5,8,0.385,0,0.2,0.2,0,"PF",225,78,"Undrafted",53.3
"203","Kenny Williams","AUS",15,26,11,4.3,9.9,0.43,1.3,4.1,0.328,0.7,0.9,0.769,1,3.5,4.5,1.8,0.7,0.1,0.9,0.9,0.533,0.497,152.7,3.9,14,8.8,10.2,8.3,1.4,0.2,18.3,1,1.1,104.8,113.2,-8.4,120.4,12.8,0.15,1.9,0.8,0.1,10,5,0.667,0.1,0.3,0.4,0,"SG",190,76,"Undrafted",149.25
"204","Cassius Winston","ERI",15,30.3,12.8,4.3,9.9,0.43,2.1,5.9,0.364,1.7,2,0.833,0.4,2.4,2.8,5.6,1.1,0.1,2.1,2.5,0.592,0.537,162.6,1.5,7.9,4.9,25,16,1.7,0.4,18.5,5.5,1.3,114.2,113.1,1.1,154.5,14.7,0.234,2.7,0.5,0.2,11,4,0.733,0.6,0.3,1,0,"PG",185,73,"Rnd 2",174.75
"205","Robert Woodard II","AUS",12,31.2,16.8,6.5,15.7,0.415,0.8,3.9,0.213,2,2.9,0.686,3.7,7.3,11,2.1,1.4,0.6,1.9,2.1,0.494,0.441,131.3,11.7,24.8,18,10.3,10.2,2.2,1.8,25.2,-1.7,1.1,99.8,106.8,-6.9,170.4,17.7,0.209,1.1,0.7,0.2,8,4,0.667,-0.1,0.6,0.5,0,"G",230,79,"Rnd 2",187.8
"206","Ryan Woolridge","OKL",14,20.2,6.6,2.6,5.6,0.468,0.5,1.5,0.333,0.5,0.6,0.875,1,3.1,4.1,4,1.3,0.1,1.6,0.9,0.557,0.513,167.7,4.9,13.9,9.6,25.5,21.8,2.9,0.6,15.1,4.9,1.2,110.8,107,3.8,123,15.7,0.152,2.4,0.8,0.1,8,6,0.571,0.2,0.4,0.7,0,"PG",175,75,"Undrafted",139.3
"207","Kenny Wooten","RGV",14,17,4.2,1.7,3.4,0.511,0.1,0.2,0.333,0.4,0.5,0.714,1.1,3.6,4.7,0.9,0.4,1.1,0.9,2.2,0.589,0.521,155.8,6.9,21.2,14.1,7.1,19.3,1.2,5.7,11.1,-1.4,1.3,106.1,107.2,-1.1,82.1,12.8,0.063,1.1,0.5,0.1,8,6,0.571,0.1,0.3,0.4,0,"PF",235,80,"Undrafted",74.2
"208","Justin Wright-Foreman","ERI",15,23.8,12.8,4.8,9.5,0.503,2.2,5.1,0.434,0.7,1.1,0.588,0.4,1.9,2.3,2.2,0.7,0.1,1.7,1.9,0.638,0.619,152.6,1.9,7.8,5,13.6,14.2,1.4,0.2,21.4,-0.8,1.3,110.4,114.1,-3.7,110.4,15.3,0.166,1.3,0.4,0.1,11,4,0.733,0.4,0.2,0.6,0,"SG",190,74,"Rnd 2",137.25
"209","James Young","WES",14,23.2,11.6,3.6,10.4,0.352,2,6.1,0.329,1.3,1.4,0.9,0.9,3.7,4.6,2.4,0.6,0.2,0.9,1.9,0.53,0.448,158.1,3.7,17.3,10.2,14.4,7.2,1.2,0.8,22,3,1.1,103.3,117.2,-13.9,116.8,13.5,0.144,2.8,0.7,0.1,6,8,0.429,0.1,0.1,0.1,0,"SG",215,78,"Rnd 1",128.1
"210","Omer Yurtseven","OKL",14,21.1,15.2,6.2,9.9,0.626,0.6,1.5,0.381,1.2,1.8,0.68,3.4,5.9,9.3,1.5,0.4,1.4,1.9,1.9,0.71,0.655,168.7,15.7,26,21,11.7,15.3,0.8,5.4,24.2,-4.2,1.5,121.9,106.3,15.7,213.1,29.2,0.177,0.8,0.2,0.2,7,7,0.5,0.8,0.5,1.3,0,"C",255,83,"Undrafted",242.2
